"DateTime","Germany, Base","Germany, Peak"
"2001-06-26 00:00:00",30.66,40.35
"2001-06-27 00:00:00",24.48,32.22
"2001-06-28 00:00:00",30.53,43.07
"2001-06-29 00:00:00",25.58,33.7
"2001-06-30 00:00:00",15.6,19.64
"2001-07-01 00:00:00",9.76,11.85
"2001-07-02 00:00:00",29.87,45.81
"2001-07-03 00:00:00",26.48,35.35
"2001-07-04 00:00:00",26.57,35.12
"2001-07-05 00:00:00",29.96,42.45
"2001-07-06 00:00:00",25.24,33.88
"2001-07-07 00:00:00",20.37,25.94
"2001-07-08 00:00:00",10.35,12.51
"2001-07-09 00:00:00",26.8,38.47
"2001-07-10 00:00:00",24.34,32.44
"2001-07-11 00:00:00",24.06,32.3
"2001-07-12 00:00:00",21.53,28.12
"2001-07-13 00:00:00",21.32,28.04
"2001-07-14 00:00:00",15.02,17.14
"2001-07-15 00:00:00",9.64,13.02
"2001-07-16 00:00:00",23.99,34.13
"2001-07-17 00:00:00",22.44,27.25
"2001-07-18 00:00:00",17.88,23.55
"2001-07-19 00:00:00",20.31,27.12
"2001-07-20 00:00:00",20,26.62
"2001-07-21 00:00:00",12.23,15.48
"2001-07-22 00:00:00",8.92,11.09
"2001-07-23 00:00:00",16.73,23.83
"2001-07-24 00:00:00",19.23,24.63
"2001-07-25 00:00:00",15.25,20.76
"2001-07-26 00:00:00",19.1,25.64
"2001-07-27 00:00:00",16.5,20.88
"2001-07-28 00:00:00",14.07,16.24
"2001-07-29 00:00:00",8.73,11.23
"2001-07-30 00:00:00",17.82,25.27
"2001-07-31 00:00:00",21.59,26.57
"2001-08-01 00:00:00",18.07,21.22
"2001-08-02 00:00:00",19.68,24.35
"2001-08-03 00:00:00",18.49,22.93
"2001-08-04 00:00:00",12.54,17.46
"2001-08-05 00:00:00",8.3,11.12
"2001-08-06 00:00:00",19.61,28.73
"2001-08-07 00:00:00",19.11,24.24
"2001-08-08 00:00:00",20.23,25.62
"2001-08-09 00:00:00",17.01,21.62
"2001-08-10 00:00:00",20.88,27.04
"2001-08-11 00:00:00",8.59,10.96
"2001-08-12 00:00:00",5.3,6.81
"2001-08-13 00:00:00",14.46,21.09
"2001-08-14 00:00:00",20.35,22.91
"2001-08-15 00:00:00",17.03,20.49
"2001-08-16 00:00:00",25.31,31.7
"2001-08-17 00:00:00",24.76,32.33
"2001-08-18 00:00:00",16.79,20.32
"2001-08-19 00:00:00",11.77,13.25
"2001-08-20 00:00:00",21.47,29.97
"2001-08-21 00:00:00",28.21,37
"2001-08-22 00:00:00",23.58,30.38
"2001-08-23 00:00:00",28.89,37.66
"2001-08-24 00:00:00",25.35,32.7
"2001-08-25 00:00:00",21.63,23.67
"2001-08-26 00:00:00",15.71,18.12
"2001-08-27 00:00:00",25.78,34.47
"2001-08-28 00:00:00",25.68,32.02
"2001-08-29 00:00:00",44.47,68.18
"2001-08-30 00:00:00",26.58,33.15
"2001-08-31 00:00:00",22.4,27.19
"2001-09-01 00:00:00",19.13,21.41
"2001-09-02 00:00:00",14.1,17.12
"2001-09-03 00:00:00",29.43,39.37
"2001-09-04 00:00:00",24.48,29.75
"2001-09-05 00:00:00",23.39,28.39
"2001-09-06 00:00:00",25.69,30.15
"2001-09-07 00:00:00",22.3,26.7
"2001-09-08 00:00:00",17.43,20.23
"2001-09-09 00:00:00",13.8,15.82
"2001-09-10 00:00:00",23.45,29.22
"2001-09-11 00:00:00",23.14,29.7
"2001-09-12 00:00:00",27.98,35.81
"2001-09-13 00:00:00",24.95,29.89
"2001-09-14 00:00:00",29.35,37.29
"2001-09-15 00:00:00",18.09,20.02
"2001-09-16 00:00:00",14.03,16.52
"2001-09-17 00:00:00",23.57,30
"2001-09-18 00:00:00",25.76,31.79
"2001-09-19 00:00:00",25.43,31.64
"2001-09-20 00:00:00",25.76,30.52
"2001-09-21 00:00:00",24.88,31.26
"2001-09-22 00:00:00",20.76,22.68
"2001-09-23 00:00:00",17.36,20.08
"2001-09-24 00:00:00",26.14,31.75
"2001-09-25 00:00:00",25.86,31.81
"2001-09-26 00:00:00",26.96,32.92
"2001-09-27 00:00:00",24.25,28.69
"2001-09-28 00:00:00",23.81,28.78
"2001-09-29 00:00:00",20.53,21.72
"2001-09-30 00:00:00",16.87,19.43
"2001-10-01 00:00:00",30.78,43.52
"2001-10-02 00:00:00",24.52,30.37
"2001-10-03 00:00:00",19.2,23.22
"2001-10-04 00:00:00",21.37,27.61
"2001-10-05 00:00:00",22.57,25.73
"2001-10-06 00:00:00",18.36,21.34
"2001-10-07 00:00:00",13.26,15.66
"2001-10-08 00:00:00",21.01,26.69
"2001-10-09 00:00:00",21.09,26.2
"2001-10-10 00:00:00",21.91,27.38
"2001-10-11 00:00:00",24.43,32.17
"2001-10-12 00:00:00",20.47,23.13
"2001-10-13 00:00:00",17.22,19.28
"2001-10-14 00:00:00",15.92,18.79
"2001-10-15 00:00:00",23.61,28.68
"2001-10-16 00:00:00",23.67,29.09
"2001-10-17 00:00:00",25.31,30.07
"2001-10-18 00:00:00",24.04,28.94
